600,21514
601,21633
602,21619
603,21549
604,21483
605,21579
606,21509
607,21413
608,21464
609,21355
610,21446
611,21626
612,21538
613,21395
614,21284
615,21352
616,21556
617,21510
618,21599
619,21507
620,21424
621,21798
622,21445
623,21243
624,21502
625,21769
626,21551
627,21530
628,21671
629,21770
630,21521
631,21355
632,21335
633,21695
634,21616
635,21655
636,21742
637,21533
638,21437
639,21656
640,21513
641,21270
642,21115
643,21497
644,21313
645,21555
646,21744
647,21553
648,21418
649,21221
650,21666
651,21578
652,21502
653,21554
654,21327
655,21434
656,21577
657,21398
658,21300
659,21647
660,21467
661,21367
662,21651
663,21343
664,21284
665,21519
666,21623
667,21452
668,21497
669,21256
670,21493
671,21810
672,21673
673,21804
674,21600
675,21229
676,21498
677,21607
678,21747
679,21322
680,21575
681,21846
682,21777
683,21337
684,21460
685,21548
686,21628
687,21502
688,21686
689,21435
690,21362
691,21449
692,21280
693,21460
694,21541
695,21226
696,21210
697,21727
698,21373
699,21859
700,21473
701,21636
702,21538
703,21510
704,21381
705,21677
706,21321
707,21612
708,21629
709,21290
710,21579
711,21644
712,21226
713,21265
714,21699
715,21557
716,21541
717,21774
718,21657
719,21824
720,21665
721,21254
722,21326
723,21132
724,21443
725,21419
726,21301
727,21598
728,21467
729,21243
730,21433
731,21556
732,21405
733,21435
734,21443
735,21346
736,21542
737,21052
738,21025
739,21117
740,21231
741,21214
742,21151
743,21184
744,21035
745,21067
746,21014
747,20945
748,20828
749,20938
750,20675
751,20744
752,20654
753,20426
754,20308
755,19678
756,20010
757,19703
758,19561
759,19358
760,19331
761,19005
762,18911
763,18956
764,18837
765,18931
766,19087
767,19092
768,19458
769,19372
770,19578
771,19766
772,20009
773,20489
774,20497
775,20267
776,20644
777,20878
778,21071
779,21058
780,21049
781,21017
782,21034
783,21092
784,21354
785,21427
786,21365
787,21560
788,21299
789,21191
790,21402
791,21498
792,21368
793,21517
794,21405
795,21223
796,21460
797,21237
798,21424
799,21428
800,21308
801,21753
802,21639
803,21696
804,21440
805,21532
806,21650
807,21639
808,21798
809,21482
810,21515
811,21250
812,21497
813,21587
814,21811
815,21651
816,21535
817,21344
818,21221
819,21311
820,21533
821,21675
822,21613
823,21344
824,21193
825,21702
826,21579
827,21416
828,21537
829,21596
830,21572
831,21714
832,21472
833,21463
834,21487
835,21683
836,21527
837,21426
838,21806
839,21407
840,21333
841,21509
842,21491
843,21331
844,21368
845,21347
846,21361
847,21245
848,21261
849,21531
850,21648
851,21622
852,21762
853,21430
854,21383
855,21482
856,21751
857,21504
858,21369
859,21515
860,21670
861,21547
862,21400
863,21241
864,21510
865,21490
866,21655
867,21499
868,21520
869,21627
870,21665
871,21639
872,21447
873,21557
874,21571
875,21348
876,21519
877,21738
878,21682
879,21387
880,21415
881,21462
882,21461
883,21579
884,21427
885,21247
886,21485
887,21578
888,21633
889,21398
890,21393
891,21536
892,21736
893,21310
894,21483
895,21555
896,21394
897,21421
898,21677
899,21582
900,21397
901,21493
902,21820
903,21667
904,21361
905,21557
906,21698
907,21586
908,21670
909,21277
910,21458
911,21444
912,21668
913,21472
914,21345
915,21377
916,21430
917,21251
918,21701
919,21442
920,21580
921,21676
922,21564
923,21658
924,21386
925,21720
926,21293
927,21619
928,21309
929,21285
930,21591
931,21462
932,21367
933,21491
934,21290
935,21630
936,21641
937,21599
938,21240
939,21615
940,21527
941,21717
942,21450
943,21433
944,21598
945,21764
946,21354
947,21465
948,21222
949,21321
950,21457
951,21427
952,21658
953,21609
954,21474
955,21652
956,21604
957,21494
958,21663
959,21573
960,21367
961,21298
962,21522
963,21555
964,21737
965,21444
966,21503
967,21632
968,21695
969,21706
970,21394
971,21807
972,21230
973,21485
974,21541
975,21352
976,21419
977,21521
978,21324
979,21407
980,21614
981,21506
982,21621
983,21515
984,21119
985,21397
986,21451
987,21736
988,21510
989,21518
990,21605
991,21406
992,21391
993,21336
994,21329
995,21433
996,21112
997,21344
998,21243
999,21490
1000,21395
1001,21460
1002,21415
1003,21506
1004,21558
1005,21545
1006,21706
1007,21461
1008,21458
1009,21466
1010,21531
1011,21541
1012,21255
1013,21507
1014,21442
1015,21465
1016,21731
1017,21486
1018,21409
1019,21464
1020,21479
1021,21222
1022,21739
1023,21739
