0,247
10,225
20,175
30,126
40,96
50,48
60,36
70,56
80,63
90,116
100,172
110,228
120,297
130,341
140,410
150,425
160,429
170,392
180,311
190,247
200,180
210,139
220,83
230,62
240,32
250,46
260,66
270,98
280,142
290,213
300,250
310,270
320,298
330,303
340,354
350,315
360,251
